No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
39427,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tshammbobo,PPE021 Sanitising of buildings,,2020-08-10,1.00,290000,Other UOM,,
39428,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Consulting Services,PPE021 Sanitising of buildings,,2020-09-10,2.00,290000,Other UOM,,
39429,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,5.00,290000,Other UOM,,
39430,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mafunzwani Construction And Gene,PPE021 Sanitising of buildings,,2020-09-10,2.00,290000,Other UOM,,
39431,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Sizisa Ukhanyo Trading 116,PPE021 Sanitising of buildings,,2020-12-11,1.00,290000,Other UOM,,
39432,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Pmr Developers And Projects Mana,PPE021 Sanitising of buildings,,2020-10-14,9.00,290000,Other UOM,,
39433,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ezaya,PPE021 Sanitising of buildings,,2020-10-15,3.00,290000,Other UOM,,
39434,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mulisa Trailz,PPE021 Sanitising of buildings,,2020-10-15,1.00,290000,Other UOM,,
39435,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Thatogatse Trading And Projects,PPE021 Sanitising of buildings,,2020-10-15,1.00,290000,Other UOM,,
39436,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,2.00,290000,Other UOM,,
39437,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,1.00,290000,Other UOM,,
39438,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Bv Ingenuity,PPE021 Sanitising of buildings,,2020-10-21,1.00,290000,Other UOM,,
39439,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Maboho Consulting,PPE021 Sanitising of buildings,,2020-10-21,1.00,290000,Other UOM,,
39440,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mapheceka Construction And Proje,PPE021 Sanitising of buildings,,2020-10-21,90.00,290000,Other UOM,,
39441,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mazibe Property Developers,PPE021 Sanitising of buildings,,2020-10-21,1.00,290000,Other UOM,,
39442,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Invested Property Fund,PPE021 Sanitising of buildings,,2020-10-28,1.00,290000,Other UOM,,
39443,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Lonrab,PPE021 Sanitising of buildings,,2020-10-28,2.00,290000,Other UOM,,
39444,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Magic Engineers,PPE021 Sanitising of buildings,,2020-10-28,2.00,290000,Other UOM,,
39445,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Seremani Holdings,PPE021 Sanitising of buildings,,2020-10-28,1.00,290000,Other UOM,,
39446,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tona Trading Enterprise,PPE021 Sanitising of buildings,,2020-10-28,4.00,290000,Other UOM,,
39447,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,True Hairess,PPE021 Sanitising of buildings,,2020-10-28,1.00,290000,Other UOM,,
39448,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Everland Trading 16,PPE021 Sanitising of buildings,,2020-08-10,1.00,293800,Other UOM,,
39449,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Melokuhle Construction And Proje,PPE021 Sanitising of buildings,,2020-08-10,1.00,295000,Other UOM,,
39450,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kalako Developers Civil And Secu,PPE021 Sanitising of buildings,,2020-09-10,1.00,295000,Other UOM,,
39451,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Seasons Find 643,PPE021 Sanitising of buildings,,2020-10-14,1.00,295000,Other UOM,,
39452,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Seishoni Trading Enterprise,PPE021 Sanitising of buildings,,2020-08-10,1.00,296680,Other UOM,,
39453,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Etilweni,PPE021 Sanitising of buildings,,2020-10-28,1.00,299000,Other UOM,,
39454,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mbombela Chemical Suppliers,PPE021 Sanitising of buildings,,2020-08-10,1.00,300000,Other UOM,,
39455,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Zwanda Engineering Services And,PPE021 Sanitising of buildings,,2020-08-10,1.00,300000,Other UOM,,
39456,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Coziwave,PPE021 Sanitising of buildings,,2020-10-28,1.00,306671.5,Other UOM,,
39457,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,1.00,310000,Other UOM,,
39458,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,M T Optical -Dash Eyewear,PPE021 Sanitising of buildings,,2020-10-28,1.00,310000,Other UOM,,
39459,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ktm Services,PPE021 Sanitising of buildings,,2020-08-10,1.00,315782.35,Other UOM,,
39460,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mpr Construction And Projects,PPE021 Sanitising of buildings,,2020-10-21,1.00,316200,Other UOM,,
39461,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ktm Services,PPE021 Sanitising of buildings,,2020-08-10,1.00,317190,Other UOM,,
39462,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ktm Services,PPE021 Sanitising of buildings,,2020-08-10,1.00,319000,Other UOM,,
39463,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ktm Services,PPE021 Sanitising of buildings,,2020-08-10,1.00,319190,Other UOM,,
39464,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Portia'S Printers Galore,PPE021 Sanitising of buildings,,2020-08-10,1.00,319190,Other UOM,,
39465,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Endobani Holdings,PPE021 Sanitising of buildings,,2020-10-28,1.00,319555,Other UOM,,
39466,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ktm Services,PPE021 Sanitising of buildings,,2020-08-10,1.00,320000,Other UOM,,
39467,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mpathuli General Trading,PPE021 Sanitising of buildings,,2020-10-21,1.00,320000,Other UOM,,
39468,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Endobani Holdings,PPE021 Sanitising of buildings,,2020-10-28,1.00,320000,Other UOM,,
39469,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Industrial Fan Engineering,PPE021 Sanitising of buildings,,2020-08-10,1.00,348000,Other UOM,,
39471,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mapheceka Construction And Proje,PPE021 Sanitising of buildings,,2020-10-21,3.00,390000,Other UOM,,
39472,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kagiso Secondary School,PPE021 Sanitising of buildings,,2020-12-11,1.00,476129.5,Other UOM,,
39474,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Phahama Secondary School,PPE021 Sanitising of buildings,,2020-12-11,1.00,605504,Other UOM,,
39487,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Insimu Consulting,PPE021 Sanitising of buildings,,2020-09-29,1.00,11518299,Other UOM,,
39488,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Fikile Mpofana,PPE021 Sanitising of buildings,,2020-09-29,1.00,11693000,Other UOM,,
39489,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Antaeres Alliance,PPE021 Sanitising of buildings,,2020-09-29,1.00,1390000,Other UOM,,
39490,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Insimu Projects,PPE021 Sanitising of buildings,,2020-09-29,1.00,13907600,Other UOM,,
39491,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Ratshi Property Development,PPE021 Sanitising of buildings,,2020-09-29,1.00,1590000,Other UOM,,
39492,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Minqi Projects And Trading,PPE021 Sanitising of buildings,,2020-09-29,1.00,1685900,Other UOM,,
39493,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Mclenols Holdings,PPE021 Sanitising of buildings,,2020-09-29,1.00,1940000,Other UOM,,
39494,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Parls Holdings,PPE021 Sanitising of buildings,,2020-09-29,1.00,250000,Other UOM,,
