No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
13280,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_3 PLY SURGICAL MASKS,2020-05-19,2020-05-19,10.98,5000,Each,54912.5,54913
23882,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_Coverall Suits,2020-05-08,2020-05-08,95.00,400,Each,38000,38000
26368,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,South african airways (pty) limited,Levtrade International,PPE000 Other PPEs_3 Ply Surgical Mask,2020-09-06,2020-09-06,9.83,1000,Each,9832.5,9833
27201,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,CLOTH FACE MASK 3 LAYERS,,,,600,0,15000,0
27253,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,FOREHEAD THERMOMETER,,,,11,0,15950,0
27274,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,HAND SANITIZER DISPENSER WALL MOUNTED,,,,12,0,17400,0
27308,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,LIQUID SOAP REFILL 5L,,,,12,0,1020,0
27313,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,MEDICAL HAND SANITIZER WITH 70% ALC 5L,,,,10,0,3800,0
27314,Orders flagged by media,price goudging,Companies investigated by Competition Commission for excessive pricing,article1,https://www.dailymaverick.co.za/article/2020-08-03-shining-a-spotlight-on-covid-19-price-gouging/,Shining a spotlight on Covid-19 price gouging,Sasha Planting,2020-08-03,https://www.dailymaverick.co.za/wp-content/uploads/BM-Sasha-Competition-option-3.jpg?w=1280,Department of water and sanitation,Green Hygiene,MEDICAL HAND SANITIZER WITH 70%ALC 500ML,,,,60,0,3600,0
322,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,Western cape - environmental affairs and development,Greenstar Power,PPE019 Surface sanitisers and disinfectants,2021-05-31,2021-06-17,4140.00,30,5 Litre,4761,4761
330,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,Western cape - environmental affairs and development,Greenstar Power,PPE020 Hand sanitisers and disinfectants,2021-05-31,2021-06-17,8280.00,60,5 Litre,9522,9522
342,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,Western cape - environmental affairs and development,Greenstar Power,PPE025 Sanitising spray bottles,2021-05-31,2021-06-17,3500.00,100,Each,4025,4025
11283,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,All wcg departments,Swartz Networks Solutions,PPE002 Surgical masks for healt care workers_Masks Respirator N95,2020-04-21,,58.00,100000,Each,5750000,5800000
11286,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,All wcg departments,Swartz Networks Solutions,PPE005 Eye protection - Goggles_Safety Goggels,2020-04-21,2020-04-23,55.00,5000,Each,84172,275000
14436,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,All wcg departments,Swartz Networks Solutions,"PPE015 Non-sterile examination gloves_Examination Gloves Nitrile, L",2020-05-18,2020-05-15,1.90,200000,Each,6.5,85500
14437,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,All wcg departments,Swartz Networks Solutions,"PPE015 Non-sterile examination gloves_Examination Gloves Nitrile, M",2020-05-18,,,0,Each,2780,0
14438,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,All wcg departments,Swartz Networks Solutions,"PPE015 Non-sterile examination gloves_Examination Gloves Nitrile, S",2020-05-18,2020-05-15,1.90,28000,Each,22701,53200
45116,Orders flagged by media,Supplier problems,Unlicensed suppliers by Sahpra,article1,https://www.dailymaverick.co.za/article/2020-10-02-sas-r2bn-unlicensed-emergency-ppe-bombshell/,SA’s R2bn unlicensed emergency PPE bombshell,Pieter-Louis Myburgh,2020-10-02,https://www.dailymaverick.co.za/wp-content/uploads/PLM-ppe-story.jpg?w=1280,All wcg departments,Greenstar Power Solutions,PPE015 Non-sterile examination gloves_Masks Respirator N95,2020-11-05,,45.83,500000,Each,3110.9,22915000
42959,Orders flagged by media,Supplier problems,Red Rose Africa SAPS corruption,article1,https://www.dailymaverick.co.za/article/2021-10-06-competition-commission-and-siu-investigate-polices-disinfectant-supplier-red-roses-africa/,Competition Commission and SIU investigate police's dis...,Mark Heywood,2021-10-06,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-Red-Follow_4.jpg?w=1280,Sa police service,Red Roses Arica (Mainstreet 699),PPE001 Surgical masks for patients,2020-01-04,2020-05-19,14.12,2000000,Box of 50,28244000,28244000
43002,Orders flagged by media,Supplier problems,Red Rose Africa SAPS corruption,article1,https://www.dailymaverick.co.za/article/2021-10-06-competition-commission-and-siu-investigate-polices-disinfectant-supplier-red-roses-africa/,Competition Commission and SIU investigate police's dis...,Mark Heywood,2021-10-06,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-Red-Follow_4.jpg?w=1280,Sa police service,Red Roses Arica (Mainstreet 699),PPE020 Hand sanitisers and disinfectants,2020-01-04,2020-05-19,5405.00,90000,25 Litre,486450000,486450000
44297,Orders flagged by media,Supplier problems,Red Rose Africa SAPS corruption,article1,https://www.dailymaverick.co.za/article/2021-10-06-competition-commission-and-siu-investigate-polices-disinfectant-supplier-red-roses-africa/,Competition Commission and SIU investigate police's dis...,Mark Heywood,2021-10-06,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-Red-Follow_4.jpg?w=1280,Electoral commission (iec),Mainstreet,PPE000 Other PPEs_Surgical Masks for employees,2020-06-05,,12.10,681,Box of 50,412005,412005
44337,Orders flagged by media,Supplier problems,Red Rose Africa SAPS corruption,article1,https://www.dailymaverick.co.za/article/2021-10-06-competition-commission-and-siu-investigate-polices-disinfectant-supplier-red-roses-africa/,Competition Commission and SIU investigate police's dis...,Mark Heywood,2021-10-06,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-Red-Follow_4.jpg?w=1280,Electoral commission (iec),Mainstreet,PPE011 Digital thermometer,2020-06-05,,1580.00,305,Each,481900,481900
44345,Orders flagged by media,Supplier problems,Red Rose Africa SAPS corruption,article1,https://www.dailymaverick.co.za/article/2021-10-06-competition-commission-and-siu-investigate-polices-disinfectant-supplier-red-roses-africa/,Competition Commission and SIU investigate police's dis...,Mark Heywood,2021-10-06,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-Red-Follow_4.jpg?w=1280,Electoral commission (iec),Mainstreet,PPE013 Biohazard bags,2020-06-05,,1.74,9000,Each,15660,15660
44390,Orders flagged by media,Supplier problems,Red Rose Africa SAPS corruption,article1,https://www.dailymaverick.co.za/article/2021-10-06-competition-commission-and-siu-investigate-polices-disinfectant-supplier-red-roses-africa/,Competition Commission and SIU investigate police's dis...,Mark Heywood,2021-10-06,https://www.dailymaverick.co.za/wp-content/uploads/2021/10/MC-Red-Follow_4.jpg?w=1280,Electoral commission (iec),Mainstreet,PPE020 Hand sanitisers and disinfectants,2020-06-05,,39.40,1355,500ml,53387,53387
7178,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Kwazulu natal - ezemvelo kwazulu-natal wildlife,Info Tech Evolution,PPE019 Surface sanitisers and disinfectants,2020-08-24,2020-09-28,740.00,50,Other UOM,37000,37000
7184,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Kwazulu natal - ezemvelo kwazulu-natal wildlife,Info Tech Evolution,PPE020 Hand sanitisers and disinfectants,2020-08-24,2020-09-28,1245.00,50,Other UOM,62250,62250
9237,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Kwazulu natal - ezemvelo kwazulu-natal wildlife,Info Tech Evolution,PPE009 Protective coveralls,2020-09-22,2020-09-30,95.00,100,Each,9500,9500
9260,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Kwazulu natal - ezemvelo kwazulu-natal wildlife,Info Tech Evolution,PPE025 Sanitising spray bottles,2020-09-22,2020-09-30,390.00,50,Each,19500,19500
9261,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Kwazulu natal - ezemvelo kwazulu-natal wildlife,Info Tech Evolution,PPE028 Sanitiser refil for dispensers,2020-09-22,2020-09-30,850.00,20,Each,17000,17000
39047,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,200800,Other UOM,200800,200800
39057,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,235300,Other UOM,235300,235300
39060,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,238200,Other UOM,238200,238200
